gene_id/transcript_id	SJINF053_211_withinKeepPairs
TMEM176A-005	3.21
TMEM176A-008	0.0
TMEM176A-004	13.15
TMEM176A-002	0.0
M6PR-001	3385.71
M6PR-201	17.38
M6PR-009	178.39
M6PR-010	12.51
M6PR-006	34.81
M6PR-002	0.0
M6PR-005	122.89
M6PR-007	9.84
M6PR-011	178.05
M6PR-008	43.33
M6PR-004	0.0
M6PR-012	0.0
M6PR-003	34.12
KLHL13-201	2.57
KLHL13-002	29.66
KLHL13-003	23.51
KLHL13-001	243.63
KLHL13-005	2.57
KLHL13-004	0.0
KLHL13-006	222.66
KLHL13-202	0.0
KLHL13-203	86.06
KLHL13-204	0.0
KLHL13-205	58.35
CYP26B1-001	0.0
CYP26B1-002	0.0
CYP26B1-004	0.0
CYP26B1-003	0.0
CYP26B1-201	0.0
ICA1-002	0.0
ICA1-008	5.0
ICA1-004	0.0
ICA1-007	0.0
ICA1-006	0.0
ICA1-001	0.0
ICA1-201	0.0
ICA1-003	0.0
ICA1-202	0.0
ICA1-009	0.0
ICA1-012	0.0
ICA1-011	0.0
ICA1-005	0.0
ICA1-014	0.0
ICA1-013	0.0
ICA1-015	0.0
ICA1-010	2.0
ICA1-016	0.0
DBNDD1-001	1.06
DBNDD1-002	0.0
DBNDD1-004	0.0
DBNDD1-006	0.78
DBNDD1-007	0.78
DBNDD1-003	0.0
DBNDD1-005	3.38
ALS2-001	480.4
ALS2-009	0.0
ALS2-006	0.0
ALS2-005	93.75
ALS2-008	0.0
ALS2-002	81.38
ALS2-003	29.09
ALS2-004	76.45
ALS2-010	0.0
ALS2-012	1.93
ALS2-011	0.0
ALS2-007	0.0
CASP10-002	16.42
CASP10-001	592.1
CASP10-009	4.91
CASP10-003	669.23
CASP10-201	0.0
CASP10-007	19.0
CASP10-006	7.15
CASP10-010	0.0
CASP10-005	36.01
CASP10-012	3.34
CASP10-011	1.4
CASP10-013	3.15
CASP10-004	86.28
CFLAR-001	4452.17
CFLAR-201	0.0
CFLAR-003	0.0
CFLAR-006	0.0
CFLAR-007	32.89
CFLAR-005	1226.95
CFLAR-018	10.06
CFLAR-008	575.38
CFLAR-017	5.39
CFLAR-016	0.0
CFLAR-009	0.0
CFLAR-010	48.43
CFLAR-015	0.0
CFLAR-002	14.2
CFLAR-011	177.62
CFLAR-024	46.03
CFLAR-020	0.0
CFLAR-019	84.12
CFLAR-023	12.51
CFLAR-022	6.52
CFLAR-026	13.08
CFLAR-014	38.06
CFLAR-012	0.0
CFLAR-027	0.0
CFLAR-021	20.69
TFPI-201	13.41
TFPI-008	0.0
TFPI-001	80.85
TFPI-009	0.0
TFPI-004	0.0
TFPI-003	1.13
TFPI-012	0.0
TFPI-002	32.58
TFPI-007	0.0
TFPI-006	1.73
TFPI-005	1.6
TFPI-010	35.71
TFPI-011	0.0
NDUFAF7-001	41.8
NDUFAF7-004	20.87
NDUFAF7-007	0.0
NDUFAF7-014	0.0
