ERR1739598	PRJEB18066	PAIRED
ERR1739599	PRJEB18066	PAIRED
ERR1739600	PRJEB18066	PAIRED
ERR1739601	PRJEB18066	PAIRED
ERR1739602	PRJEB18066	PAIRED
ERR1739603	PRJEB18066	PAIRED
ERR1739604	PRJEB18066	PAIRED
ERR1749994	PRJEB18523	SINGLE
ERR1749995	PRJEB18523	SINGLE
ERR1749996	PRJEB18523	SINGLE
ERR1749997	PRJEB18523	SINGLE
ERR1749998	PRJEB18523	SINGLE
ERR1749999	PRJEB18523	SINGLE
ERR1750000	PRJEB18523	SINGLE
ERR1750001	PRJEB18523	SINGLE
ERR1750002	PRJEB18523	SINGLE
ERR1750003	PRJEB18523	SINGLE
ERR1750004	PRJEB18523	SINGLE
ERR1750005	PRJEB18523	SINGLE
ERR1750006	PRJEB18523	SINGLE
ERR1750007	PRJEB18524	SINGLE
ERR1750008	PRJEB18524	SINGLE
ERR1750009	PRJEB18524	SINGLE
ERR1750010	PRJEB18524	SINGLE
ERR1750011	PRJEB18524	SINGLE
ERR1750012	PRJEB18524	SINGLE
SRR5119550	PRJNA357964	SINGLE
ERR1743806	PRJEB7388	PAIRED
ERR1743807	PRJEB7388	PAIRED
ERR1743808	PRJEB7388	PAIRED
ERR1743809	PRJEB7388	PAIRED
ERR1743810	PRJEB7388	PAIRED
ERR1743811	PRJEB7388	PAIRED
ERR1743812	PRJEB7388	PAIRED
ERR1743813	PRJEB7388	PAIRED
ERR1743814	PRJEB7388	PAIRED
ERR1743815	PRJEB7388	PAIRED
ERR1743816	PRJEB7388	PAIRED
ERR1743817	PRJEB7388	PAIRED
ERR1743818	PRJEB7388	PAIRED
ERR1743819	PRJEB7388	PAIRED
ERR1743820	PRJEB7388	PAIRED
ERR1743821	PRJEB7388	PAIRED
ERR1743822	PRJEB7388	PAIRED
ERR1743823	PRJEB7388	PAIRED
ERR1743824	PRJEB7388	PAIRED
ERR1743825	PRJEB7388	PAIRED
ERR1743826	PRJEB7388	PAIRED
ERR1743827	PRJEB7388	PAIRED
ERR1743828	PRJEB7388	PAIRED
ERR1743829	PRJEB7388	PAIRED
ERR1743830	PRJEB7388	PAIRED
ERR1743831	PRJEB7388	PAIRED
ERR1743832	PRJEB7388	PAIRED
ERR1743833	PRJEB7388	PAIRED
ERR1743834	PRJEB7388	PAIRED
SRR5062565	PRJNA306521	PAIRED
SRR5062566	PRJNA306521	PAIRED
SRR5062567	PRJNA306521	PAIRED
SRR5062568	PRJNA306521	PAIRED
SRR5062569	PRJNA306521	PAIRED
SRR5062570	PRJNA306521	PAIRED
SRR5062571	PRJNA306521	PAIRED
SRR5062572	PRJNA306521	PAIRED
SRR5062573	PRJNA306521	PAIRED
SRR5062574	PRJNA306521	PAIRED
SRR5062575	PRJNA306521	PAIRED
SRR5062576	PRJNA306521	PAIRED
SRR5062577	PRJNA306521	PAIRED
SRR5062578	PRJNA306521	PAIRED
SRR5062579	PRJNA306521	PAIRED
SRR5062580	PRJNA306521	PAIRED
SRR5062581	PRJNA306521	PAIRED
SRR5062582	PRJNA306521	PAIRED
SRR5069807	PRJNA355975	PAIRED
SRR5069808	PRJNA355975	PAIRED
SRR5069809	PRJNA355975	PAIRED
SRR5069810	PRJNA355975	PAIRED
ERR1744125	PRJEB18261	PAIRED
ERR1744126	PRJEB18261	PAIRED
ERR1744127	PRJEB18261	PAIRED
ERR1744128	PRJEB18261	PAIRED
ERR1744129	PRJEB18261	PAIRED
ERR1744130	PRJEB18261	PAIRED
ERR1744131	PRJEB18261	PAIRED
ERR1744132	PRJEB18261	PAIRED
ERR1744133	PRJEB18261	PAIRED
ERR1744134	PRJEB18261	PAIRED
ERR1744135	PRJEB18261	PAIRED
ERR1744136	PRJEB18261	PAIRED
SRR5075581	PRJNA356173	PAIRED
SRR5075582	PRJNA356173	PAIRED
SRR5075583	PRJNA356173	PAIRED
SRR5075584	PRJNA356173	PAIRED
SRR5075585	PRJNA356173	PAIRED
SRR5075586	PRJNA356173	PAIRED
SRR5075587	PRJNA356173	PAIRED
SRR5075588	PRJNA356173	PAIRED
SRR5075589	PRJNA356173	PAIRED
SRR5075590	PRJNA356173	PAIRED
SRR5075591	PRJNA356173	PAIRED
SRR5075592	PRJNA356173	PAIRED
SRR5075593	PRJNA356173	PAIRED
SRR5075594	PRJNA356173	PAIRED
SRR5075595	PRJNA356173	PAIRED
SRR5075596	PRJNA356173	PAIRED
SRR5075597	PRJNA356173	PAIRED
SRR5075598	PRJNA356173	PAIRED
SRR5075599	PRJNA356173	PAIRED
SRR5075600	PRJNA356173	PAIRED
SRR5075601	PRJNA356173	PAIRED
SRR5075602	PRJNA356173	PAIRED
SRR5075603	PRJNA356173	PAIRED
SRR5075604	PRJNA356173	PAIRED
SRR5075605	PRJNA356173	PAIRED
SRR5075606	PRJNA356173	PAIRED
SRR5075607	PRJNA356173	PAIRED
SRR5075608	PRJNA356173	PAIRED
SRR5075609	PRJNA356173	PAIRED
SRR5075610	PRJNA356173	PAIRED
SRR5075611	PRJNA356173	PAIRED
SRR5075612	PRJNA356173	PAIRED
SRR5075613	PRJNA356173	PAIRED
SRR5075614	PRJNA356173	PAIRED
SRR5075615	PRJNA356173	PAIRED
SRR5075616	PRJNA356173	PAIRED
SRR5075617	PRJNA356173	PAIRED
SRR5075618	PRJNA356173	PAIRED
SRR5075619	PRJNA356173	PAIRED
ERR1738305	PRJEB14362	PAIRED
ERR1738306	PRJEB14362	PAIRED
ERR1738307	PRJEB14362	PAIRED
ERR1738308	PRJEB14362	PAIRED
ERR1738309	PRJEB14362	PAIRED
ERR1738310	PRJEB14362	PAIRED
ERR1738311	PRJEB14362	PAIRED
ERR1738312	PRJEB14362	PAIRED
ERR1738313	PRJEB14362	PAIRED
ERR1738314	PRJEB14362	PAIRED
ERR1738315	PRJEB14362	PAIRED
ERR1738316	PRJEB14362	PAIRED
ERR1738317	PRJEB14362	PAIRED
ERR1738318	PRJEB14362	PAIRED
ERR1739239	PRJEB6168	SINGLE
ERR1739240	PRJEB6168	SINGLE
ERR1739241	PRJEB6168	SINGLE
ERR1739242	PRJEB6168	SINGLE
ERR1739243	PRJEB6168	SINGLE
ERR1739244	PRJEB6168	SINGLE
ERR1739245	PRJEB6168	SINGLE
ERR1739246	PRJEB6168	SINGLE
SRR5061836	PRJNA355321	PAIRED
SRR5061837	PRJNA355321	PAIRED
SRR5061838	PRJNA355321	PAIRED
SRR5061839	PRJNA355321	PAIRED
SRR5061840	PRJNA355321	PAIRED
SRR5061841	PRJNA355321	PAIRED
SRR5061842	PRJNA355321	PAIRED
SRR5061843	PRJNA355321	PAIRED
SRR5061844	PRJNA355321	PAIRED
SRR5061845	PRJNA355321	PAIRED
ERR1474706	PRJEB14614	PAIRED
ERR1474707	PRJEB14614	PAIRED
ERR1474708	PRJEB14614	PAIRED
ERR1474709	PRJEB14614	PAIRED
ERR1474710	PRJEB14614	PAIRED
ERR1474711	PRJEB14614	PAIRED
ERR1743784	PRJEB7388	PAIRED
ERR1743785	PRJEB7388	PAIRED
ERR1743786	PRJEB7388	PAIRED
ERR1743787	PRJEB7388	PAIRED
ERR1743788	PRJEB7388	PAIRED
ERR1743789	PRJEB7388	PAIRED
ERR1743790	PRJEB7388	PAIRED
ERR1743791	PRJEB7388	PAIRED
ERR1743792	PRJEB7388	PAIRED
ERR1743793	PRJEB7388	PAIRED
ERR1743794	PRJEB7388	PAIRED
ERR1743795	PRJEB7388	PAIRED
ERR1743796	PRJEB7388	PAIRED
ERR1743797	PRJEB7388	PAIRED
ERR1743798	PRJEB7388	PAIRED
ERR1743799	PRJEB7388	PAIRED
ERR1743800	PRJEB7388	PAIRED
ERR1743801	PRJEB7388	PAIRED
ERR1743802	PRJEB7388	PAIRED
ERR1743803	PRJEB7388	PAIRED
ERR1743804	PRJEB7388	PAIRED
ERR1743805	PRJEB7388	PAIRED
ERR1738205	PRJEB14362	PAIRED
ERR1738206	PRJEB14362	PAIRED
ERR1738207	PRJEB14362	PAIRED
ERR1738208	PRJEB14362	PAIRED
ERR1738209	PRJEB14362	PAIRED
ERR1738210	PRJEB14362	PAIRED
ERR1738211	PRJEB14362	PAIRED
ERR1738212	PRJEB14362	PAIRED
ERR1738213	PRJEB14362	PAIRED
ERR1738214	PRJEB14362	PAIRED
ERR1738215	PRJEB14362	PAIRED
ERR1738216	PRJEB14362	PAIRED
ERR1738217	PRJEB14362	PAIRED
ERR1738218	PRJEB14362	PAIRED
ERR1738219	PRJEB14362	PAIRED
ERR1738220	PRJEB14362	PAIRED
ERR1738221	PRJEB14362	PAIRED
ERR1738222	PRJEB14362	PAIRED
ERR1738223	PRJEB14362	PAIRED
ERR1738224	PRJEB14362	PAIRED
ERR1738225	PRJEB14362	PAIRED
ERR1738226	PRJEB14362	PAIRED
ERR1738227	PRJEB14362	PAIRED
ERR1738228	PRJEB14362	PAIRED
ERR1738229	PRJEB14362	PAIRED
ERR1738230	PRJEB14362	PAIRED
ERR1738231	PRJEB14362	PAIRED
ERR1738232	PRJEB14362	PAIRED
ERR1738233	PRJEB14362	PAIRED
ERR1738234	PRJEB14362	PAIRED
ERR1738235	PRJEB14362	PAIRED
ERR1738236	PRJEB14362	PAIRED
ERR1738237	PRJEB14362	PAIRED
ERR1738238	PRJEB14362	PAIRED
ERR1738239	PRJEB14362	PAIRED
ERR1738240	PRJEB14362	PAIRED
ERR1738241	PRJEB14362	PAIRED
ERR1738242	PRJEB14362	PAIRED
ERR1738243	PRJEB14362	PAIRED
ERR1738244	PRJEB14362	PAIRED
ERR1738245	PRJEB14362	PAIRED
ERR1738246	PRJEB14362	PAIRED
ERR1738247	PRJEB14362	PAIRED
ERR1738248	PRJEB14362	PAIRED
ERR1738249	PRJEB14362	PAIRED
ERR1738250	PRJEB14362	PAIRED
ERR1738251	PRJEB14362	PAIRED
ERR1738252	PRJEB14362	PAIRED
ERR1738253	PRJEB14362	PAIRED
ERR1738254	PRJEB14362	PAIRED
ERR1738255	PRJEB14362	PAIRED
ERR1738256	PRJEB14362	PAIRED
ERR1738257	PRJEB14362	PAIRED
ERR1738258	PRJEB14362	PAIRED
ERR1738259	PRJEB14362	PAIRED
ERR1738260	PRJEB14362	PAIRED
ERR1738261	PRJEB14362	PAIRED
ERR1738262	PRJEB14362	PAIRED
ERR1738263	PRJEB14362	PAIRED
ERR1738264	PRJEB14362	PAIRED
ERR1738265	PRJEB14362	PAIRED
ERR1738266	PRJEB14362	PAIRED
ERR1738267	PRJEB14362	PAIRED
ERR1738268	PRJEB14362	PAIRED
ERR1738269	PRJEB14362	PAIRED
ERR1738270	PRJEB14362	PAIRED
ERR1738271	PRJEB14362	PAIRED
ERR1738272	PRJEB14362	PAIRED
ERR1738273	PRJEB14362	PAIRED
ERR1738274	PRJEB14362	PAIRED
ERR1738275	PRJEB14362	PAIRED
ERR1738276	PRJEB14362	PAIRED
ERR1738277	PRJEB14362	PAIRED
ERR1738278	PRJEB14362	PAIRED
ERR1738279	PRJEB14362	PAIRED
ERR1738280	PRJEB14362	PAIRED
ERR1738281	PRJEB14362	PAIRED
ERR1738282	PRJEB14362	PAIRED
ERR1738283	PRJEB14362	PAIRED
ERR1738284	PRJEB14362	PAIRED
ERR1738285	PRJEB14362	PAIRED
ERR1738286	PRJEB14362	PAIRED
ERR1738287	PRJEB14362	PAIRED
ERR1738288	PRJEB14362	PAIRED
ERR1738289	PRJEB14362	PAIRED
ERR1738290	PRJEB14362	PAIRED
ERR1738291	PRJEB14362	PAIRED
ERR1738292	PRJEB14362	PAIRED
ERR1738293	PRJEB14362	PAIRED
ERR1738294	PRJEB14362	PAIRED
ERR1738295	PRJEB14362	PAIRED
ERR1738296	PRJEB14362	PAIRED
ERR1738297	PRJEB14362	PAIRED
ERR1738298	PRJEB14362	PAIRED
ERR1738299	PRJEB14362	PAIRED
ERR1738300	PRJEB14362	PAIRED
ERR1738301	PRJEB14362	PAIRED
ERR1738302	PRJEB14362	PAIRED
ERR1738303	PRJEB14362	PAIRED
ERR1738304	PRJEB14362	PAIRED
ERR1738105	PRJEB14362	PAIRED
ERR1738106	PRJEB14362	PAIRED
ERR1738107	PRJEB14362	PAIRED
ERR1738108	PRJEB14362	PAIRED
ERR1738109	PRJEB14362	PAIRED
ERR1738110	PRJEB14362	PAIRED
ERR1738111	PRJEB14362	PAIRED
ERR1738112	PRJEB14362	PAIRED
ERR1738113	PRJEB14362	PAIRED
ERR1738114	PRJEB14362	PAIRED
ERR1738115	PRJEB14362	PAIRED
ERR1738116	PRJEB14362	PAIRED
ERR1738117	PRJEB14362	PAIRED
ERR1738118	PRJEB14362	PAIRED
ERR1738119	PRJEB14362	PAIRED
ERR1738120	PRJEB14362	PAIRED
ERR1738121	PRJEB14362	PAIRED
ERR1738122	PRJEB14362	PAIRED
ERR1738123	PRJEB14362	PAIRED
ERR1738124	PRJEB14362	PAIRED
ERR1738125	PRJEB14362	PAIRED
ERR1738126	PRJEB14362	PAIRED
ERR1738127	PRJEB14362	PAIRED
ERR1738128	PRJEB14362	PAIRED
ERR1738129	PRJEB14362	PAIRED
ERR1738130	PRJEB14362	PAIRED
ERR1738131	PRJEB14362	PAIRED
ERR1738132	PRJEB14362	PAIRED
ERR1738133	PRJEB14362	PAIRED
ERR1738134	PRJEB14362	PAIRED
ERR1738135	PRJEB14362	PAIRED
ERR1738136	PRJEB14362	PAIRED
ERR1738137	PRJEB14362	PAIRED
ERR1738138	PRJEB14362	PAIRED
ERR1738139	PRJEB14362	PAIRED
ERR1738140	PRJEB14362	PAIRED
ERR1738141	PRJEB14362	PAIRED
ERR1738142	PRJEB14362	PAIRED
ERR1738143	PRJEB14362	PAIRED
ERR1738144	PRJEB14362	PAIRED
ERR1738145	PRJEB14362	PAIRED
ERR1738146	PRJEB14362	PAIRED
ERR1738147	PRJEB14362	PAIRED
ERR1738148	PRJEB14362	PAIRED
ERR1738149	PRJEB14362	PAIRED
ERR1738150	PRJEB14362	PAIRED
ERR1738151	PRJEB14362	PAIRED
ERR1738152	PRJEB14362	PAIRED
ERR1738153	PRJEB14362	PAIRED
ERR1738154	PRJEB14362	PAIRED
ERR1738155	PRJEB14362	PAIRED
ERR1738156	PRJEB14362	PAIRED
ERR1738157	PRJEB14362	PAIRED
ERR1738158	PRJEB14362	PAIRED
ERR1738159	PRJEB14362	PAIRED
ERR1738160	PRJEB14362	PAIRED
ERR1738161	PRJEB14362	PAIRED
ERR1738162	PRJEB14362	PAIRED
ERR1738163	PRJEB14362	PAIRED
ERR1738164	PRJEB14362	PAIRED
ERR1738165	PRJEB14362	PAIRED
ERR1738166	PRJEB14362	PAIRED
ERR1738167	PRJEB14362	PAIRED
ERR1738168	PRJEB14362	PAIRED
ERR1738169	PRJEB14362	PAIRED
ERR1738170	PRJEB14362	PAIRED
ERR1738171	PRJEB14362	PAIRED
ERR1738172	PRJEB14362	PAIRED
ERR1738173	PRJEB14362	PAIRED
ERR1738174	PRJEB14362	PAIRED
ERR1738175	PRJEB14362	PAIRED
ERR1738176	PRJEB14362	PAIRED
ERR1738177	PRJEB14362	PAIRED
ERR1738178	PRJEB14362	PAIRED
ERR1738179	PRJEB14362	PAIRED
ERR1738180	PRJEB14362	PAIRED
ERR1738181	PRJEB14362	PAIRED
ERR1738182	PRJEB14362	PAIRED
ERR1738183	PRJEB14362	PAIRED
ERR1738184	PRJEB14362	PAIRED
ERR1738185	PRJEB14362	PAIRED
