GTEX-1399U-0226-SM-5P9J2
GTEX-139YR-0126-SM-5IJEY
GTEX-R55G-0126-SM-48FDS
GTEX-Y9LG-0126-SM-5Q59W
GTEX-U3ZM-0226-SM-4DXTA
GTEX-P4QS-1326-SM-3NMCD
GTEX-111CU-0126-SM-5GZWZ
GTEX-S4Q7-0226-SM-4AD5O
GTEX-WYVS-0226-SM-4ONDK
GTEX-V955-0126-SM-4JBH5
GTEX-WHPG-1526-SM-4M1ZK
GTEX-XUZC-0226-SM-4BOO7
GTEX-132AR-1726-SM-5EGHQ
GTEX-RUSQ-0226-SM-47JWT
GTEX-1211K-0126-SM-59HJE
GTEX-13O21-0126-SM-5IJE8
GTEX-1399S-0426-SM-5IFG5
GTEX-OOBK-3125-SM-3LK5R
GTEX-ZYFG-0926-SM-5BC5U
GTEX-14A5I-2126-SM-5NQA8
GTEX-13FTW-0126-SM-5IJED
GTEX-14H4A-0226-SM-5SI6Q
GTEX-REY6-1726-SM-48FDL
GTEX-YF7O-0126-SM-5IFIR
GTEX-QCQG-0126-SM-48U27
GTEX-XYKS-0926-SM-4BRVG
GTEX-13O1R-2326-SM-5IJF9
GTEX-OHPK-1326-SM-3MJGN
GTEX-Y114-0526-SM-4TT8V
GTEX-12WSK-0326-SM-5GCOJ
GTEX-13O3O-1626-SM-5KM1O
GTEX-XV7Q-0226-SM-4BRVL
GTEX-QXCU-1326-SM-48FE2
GTEX-ZLFU-0826-SM-4WWBP
GTEX-Q2AH-0126-SM-48U2B
GTEX-QLQ7-0126-SM-4R1JW
GTEX-PWCY-0226-SM-48TD8
GTEX-V1D1-0226-SM-4JBHG
GTEX-R53T-0226-SM-48FEH
GTEX-1399R-0326-SM-5KM1X
GTEX-1122O-0326-SM-5H124
GTEX-O5YV-1126-SM-3LK73
GTEX-111YS-0126-SM-5987T
GTEX-QDVN-0426-SM-48TZ6
GTEX-NFK9-1726-SM-3TW8P
GTEX-WQUQ-0126-SM-4OOSS
GTEX-11GSP-0326-SM-5A5KW
GTEX-14753-1726-SM-5NQ9X
GTEX-ZYVF-1626-SM-5N9EH
GTEX-X4LF-0126-SM-4QAS7
GTEX-O5YT-1326-SM-3MJGR
GTEX-S32W-0126-SM-4AD61
GTEX-13PL7-1026-SM-5MR5C
GTEX-131XG-1326-SM-5DUX4
GTEX-14BMU-0126-SM-5S2Q9
GTEX-14DAQ-1826-SM-5S2VV
GTEX-RWSA-1726-SM-47JX7
GTEX-11XUK-0126-SM-5CVLK
GTEX-XMK1-0226-SM-4B65D
GTEX-148VJ-1626-SM-5QGPH
GTEX-WFG8-0126-SM-4LVMH
GTEX-R55C-0226-SM-48FEO
GTEX-11DXY-1626-SM-5H12L
GTEX-13FH7-0226-SM-5IFGG
GTEX-OXRK-0126-SM-3NB1E
GTEX-132QS-0126-SM-5IFH9
GTEX-OHPL-1326-SM-3MJGG
GTEX-145LT-0126-SM-5S2QJ
GTEX-13OW7-2726-SM-5L3HN
GTEX-ZF2S-0126-SM-4WKFO
GTEX-QEG5-1826-SM-4R1JP
GTEX-ZLWG-0126-SM-4WWC5
GTEX-WY7C-0326-SM-4OND5
GTEX-Y5V5-1326-SM-4V6G9
GTEX-13111-0326-SM-5DUXF
GTEX-11I78-1826-SM-5A5M4
GTEX-13N11-0826-SM-5IJFP
GTEX-QLQW-0226-SM-447BJ
GTEX-ZDTT-0126-SM-4WKHA
GTEX-13W3W-1326-SM-5LU4T
GTEX-131XF-0126-SM-5DUVF
GTEX-13O61-0126-SM-5KM4P
GTEX-12WSD-2126-SM-5LZWK
GTEX-ZVP2-0126-SM-5NQ7D
GTEX-YB5E-0226-SM-5IFHI
GTEX-13OVI-1226-SM-5J2ME
GTEX-X4EO-1726-SM-4QARN
GTEX-QMRM-0126-SM-4R1K9
GTEX-VJYA-0526-SM-4KL1R
GTEX-S341-0126-SM-4AD64
GTEX-OIZH-1326-SM-3NB1H
GTEX-Q734-0126-SM-48U1E
GTEX-11DXX-0126-SM-5EGH7
GTEX-U3ZN-0826-SM-4DXSZ
GTEX-11DXZ-0226-SM-5EGGZ
GTEX-11TT1-0126-SM-5LUAA
GTEX-ZVT2-0826-SM-5GIEO
GTEX-ZZPU-1226-SM-5N9CK
GTEX-12696-0626-SM-5EGGD
