BioSample_s	Experiment_s	InsertSize_l	LibraryLayout_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	Assay_Type_s	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	source_s	strain_s
SAMN00205569	SRX040675	0	SINGLE	ZDB107	2014-05-29	241	142	2011-03-25	SRR098038	SRS167177	ZDB107	WGS	<not provided>	PRJNA188723	MSU	public	RANDOM	GENOMIC	Escherichia coli B str. REL606	ILLUMINA	SRP004752	<not provided>	<not provided>	<not provided>	REL606
SAMN00205570	SRX040676	0	SINGLE	ZDB111	2014-05-29	281	193	2011-03-25	SRR098039	SRS167178	ZDB111	WGS	<not provided>	PRJNA188723	MSU	public	RANDOM	GENOMIC	Escherichia coli B str. REL606	ILLUMINA	SRP004752	<not provided>	<not provided>	<not provided>	REL606
SAMN00205571	SRX040677	0	SINGLE	ZDB143	2014-05-29	653	466	2011-03-25	SRR098040	SRS167179	ZDB143	WGS	<not provided>	PRJNA188723	MSU	public	RANDOM	GENOMIC	Escherichia coli B str. REL606	ILLUMINA	SRP004752	<not provided>	<not provided>	<not provided>	REL606
SAMN00205572	SRX040678	0	SINGLE	ZDB158	2014-05-29	546	388	2011-03-25	SRR098041	SRS167180	ZDB158	WGS	<not provided>	PRJNA188723	MSU	public	RANDOM	GENOMIC	Escherichia coli B str. REL606	ILLUMINA	SRP004752	<not provided>	<not provided>	<not provided>	REL606
SAMN00205573	SRX040679	0	SINGLE	ZDB172-SE	2014-05-29	59	48	2011-03-25	SRR098042	SRS167181	ZDB172	WGS	<not provided>	PRJNA188723	MSU	public	RANDOM	GENOMIC	Escherichia coli B str. REL606	ILLUMINA	SRP004752	<not provided>	<not provided>	<not provided>	REL606
SAMN00205573	SRX040680	2729	PAIRED	ZDB172-PE	2014-05-29	1620	635	2011-03-25	SRR098043	SRS167181	ZDB172	WGS	<not provided>	PRJNA188723	MSU	public	RANDOM	GENOMIC	Escherichia coli B str. REL606	ILLUMINA	SRP004752	<not provided>	<not provided>	<not provided>	REL606
SAMN00205574	SRX040681	0	SINGLE	ZDB199	2014-05-29	646	454	2011-03-25	SRR098044	SRS167182	ZDB199	WGS	<not provided>	PRJNA188723	MSU	public	RANDOM	GENOMIC	Escherichia coli B str. REL606	ILLUMINA	SRP004752	<not provided>	<not provided>	<not provided>	REL606
SAMN00205586	SRX040720	0	SINGLE	ZDB200	2014-05-29	551	390	2011-03-25	SRR098279	SRS167194	ZDB200	WGS	<not provided>	PRJNA188723	MSU	public	RANDOM	GENOMIC	Escherichia coli B str. REL606	ILLUMINA	SRP004752	<not provided>	<not provided>	<not provided>	REL606
SAMN00205587	SRX040721	0	SINGLE	ZDB357	2014-05-29	571	407	2011-03-25	SRR098280	SRS167195	ZDB357	WGS	<not provided>	PRJNA188723	MSU	public	RANDOM	GENOMIC	Escherichia coli B str. REL606	ILLUMINA	SRP004752	<not provided>	<not provided>	<not provided>	REL606
SAMN00205588	SRX040722	0	SINGLE	ZDB409	2014-05-29	733	518	2011-03-25	SRR098281	SRS167196	ZDB409	WGS	<not provided>	PRJNA188723	MSU	public	RANDOM	GENOMIC	Escherichia coli B str. REL606	ILLUMINA	SRP004752	<not provided>	<not provided>	<not provided>	REL606
SAMN00205589	SRX040723	0	SINGLE	ZDB429	2014-05-29	443	309	2011-03-25	SRR098282	SRS167197	ZDB429	WGS	<not provided>	PRJNA188723	MSU	public	RANDOM	GENOMIC	Escherichia coli B str. REL606	ILLUMINA	SRP004752	<not provided>	<not provided>	<not provided>	REL606
SAMN00205590	SRX040724	0	SINGLE	ZDB446	2014-05-29	719	513	2011-03-25	SRR098283	SRS167198	ZDB446	WGS	<not provided>	PRJNA188723	MSU	public	RANDOM	GENOMIC	Escherichia coli B str. REL606	ILLUMINA	SRP004752	<not provided>	<not provided>	<not provided>	REL606
SAMN00205591	SRX040725	0	SINGLE	ZDB458	2014-05-29	633	447	2011-03-25	SRR098284	SRS167199	ZDB458	WGS	<not provided>	PRJNA188723	MSU	public	RANDOM	GENOMIC	Escherichia coli B str. REL606	ILLUMINA	SRP004752	<not provided>	<not provided>	<not provided>	REL606
SAMN00205592	SRX040726	0	SINGLE	ZDB464	2014-05-29	140	97	2011-03-25	SRR098285	SRS167200	ZDB464	WGS	<not provided>	PRJNA188723	MSU	public	RANDOM	GENOMIC	Escherichia coli B str. REL606	ILLUMINA	SRP004752	<not provided>	<not provided>	<not provided>	REL606
SAMN00205593	SRX040727	0	SINGLE	ZDB467	2014-05-29	714	322	2011-03-25	SRR098286	SRS167201	ZDB467	WGS	<not provided>	PRJNA188723	MSU	public	RANDOM	GENOMIC	Escherichia coli B str. REL606	ILLUMINA	SRP004752	<not provided>	<not provided>	<not provided>	REL606
SAMN00205594	SRX040728	0	SINGLE	ZDB477	2014-05-29	691	487	2011-03-25	SRR098287	SRS167202	ZDB477	WGS	<not provided>	PRJNA188723	MSU	public	RANDOM	GENOMIC	Escherichia coli B str. REL606	ILLUMINA	SRP004752	<not provided>	<not provided>	<not provided>	REL606
SAMN00205595	SRX040729	0	SINGLE	ZDB483	2014-05-29	829	593	2011-03-25	SRR098288	SRS167203	ZDB483	WGS	<not provided>	PRJNA188723	MSU	public	RANDOM	GENOMIC	Escherichia coli B str. REL606	ILLUMINA	SRP004752	<not provided>	<not provided>	<not provided>	REL606
SAMN00205596	SRX040730	0	SINGLE	ZDB564	2014-05-29	265	171	2011-03-25	SRR098289	SRS167204	ZDB564	WGS	<not provided>	PRJNA188723	MSU	public	RANDOM	GENOMIC	Escherichia coli B str. REL606	ILLUMINA	SRP004752	<not provided>	<not provided>	<not provided>	REL606
SAMN00205559	SRX040664	0	SINGLE	CZB199	2014-05-29	157	118	2011-03-25	SRR098027	SRS167167	CZB199	WGS	<not provided>	PRJNA188723	MSU	public	RANDOM	GENOMIC	Escherichia coli B str. REL606	ILLUMINA	SRP004752	<not provided>	<not provided>	<not provided>	REL606
SAMN00205558	SRX040663	0	SINGLE	CZB154	2014-05-29	627	444	2011-03-25	SRR098026	SRS167166	CZB154	WGS	<not provided>	PRJNA188723	MSU	public	RANDOM	GENOMIC	Escherichia coli B str. REL606	ILLUMINA	SRP004752	<not provided>	<not provided>	<not provided>	REL606
SAMN00205533	SRX040608	0	SINGLE	CZB152	2014-05-29	149	100	2011-03-25	SRR097977	SRS167141	CZB152	WGS	<not provided>	PRJNA188723	MSU	public	RANDOM	GENOMIC	Escherichia coli B str. REL606	ILLUMINA	SRP004752	<not provided>	<not provided>	<not provided>	REL606
SAMN01095545	SRX170941	0	SINGLE	ZDB285	2012-07-25	150	106	2012-07-26	SRR527252	SRS351858	ZDB285	WGS	<not provided>	PRJNA188723	MSU	public	RANDOM	GENOMIC	Escherichia coli B str. REL606	ILLUMINA	SRP004752	<not provided>	<not provided>	<not provided>	REL606
SAMN01095549	SRX170945	0	SINGLE	ZDB294	2012-07-25	158	112	2012-07-26	SRR527256	SRS351863	ZDB294	WGS	<not provided>	PRJNA188723	MSU	public	RANDOM	GENOMIC	Escherichia coli B str. REL606	ILLUMINA	SRP004752	<not provided>	<not provided>	<not provided>	REL606
SAMN01095550	SRX170946	0	SINGLE	ZDB281	2012-07-25	157	115	2012-07-26	SRR527257	SRS351864	ZDB281	WGS	<not provided>	PRJNA188723	MSU	public	RANDOM	GENOMIC	Escherichia coli B str. REL606	ILLUMINA	SRP004752	<not provided>	<not provided>	<not provided>	REL606
SAMN01095546	SRX170942	0	SINGLE	ZDB290	2012-07-25	151	112	2012-07-26	SRR527253	SRS351860	ZDB290	WGS	<not provided>	PRJNA188723	MSU	public	RANDOM	GENOMIC	Escherichia coli B str. REL606	ILLUMINA	SRP004752	<not provided>	<not provided>	<not provided>	REL606
SAMN01095547	SRX170943	0	SINGLE	ZDB165	2012-07-25	155	106	2012-07-26	SRR527254	SRS351861	ZDB165	WGS	<not provided>	PRJNA188723	MSU	public	RANDOM	GENOMIC	Escherichia coli B str. REL606	ILLUMINA	SRP004752	<not provided>	<not provided>	<not provided>	REL606
SAMN01095548	SRX170944	0	SINGLE	ZDB283	2012-07-25	153	113	2012-07-26	SRR527255	SRS351862	ZDB283	WGS	<not provided>	PRJNA188723	MSU	public	RANDOM	GENOMIC	Escherichia coli B str. REL606	ILLUMINA	SRP004752	<not provided>	<not provided>	<not provided>	REL606
