gene_id	test_unc_SRR1559191
ADAMTSL1	53.4852
ADAMTSL2	295.4067
ADAMTSL3	9.9047
ADAMTSL4	31.6949
ADAMTSL5	3.7143
ADAP1	273.6164
ADAP2	100.2848
ADARB1	187.9411
ADARB2	1.9809
ADAR	1236.8454
ADAT1	119.3512
ADAT2	145.8462
ADAT3	67.1041
ADA	54.7233
ADCK1	437.0435
ADCK2	825.8017
ADCK4	821.0969
ADCK5	281.0449
ADCY10	1.7333
ADCY1	332.3016
ADCY2	6.1904
ADCY3	391.7296
ADCY4	102.5133
ADCY5	95.8277
ADCY6	840.4110
ADCY7	226.8169
ADCY8	30.9521
ADCY9	137.4273
ADCYAP1R1	125.7893
ADCYAP1	64.6280
ADC	215.4265
ADD1	4335.5206
ADD2	934.5054
ADD3	708.9266
ADH1A	5.4476
ADH1B	40.3615
ADH1C	0.9905
ADH4	0.0000
ADH5	1688.0030
ADH6	5.6952
ADH7	0.0000
ADHFE1	76.5136
ADI1	869.3822
ADIG	0.0000
ADIPOQ	13.1237
ADIPOR1	3023.8950
ADIPOR2	727.2502
ADK	277.0831
ADM2	11.3904
ADM	1930.1721
ADNP2	202.5505
ADNP	1410.4247
ADORA1	16.3427
ADORA2A	219.8836
ADORA2B	11.1428
ADORA3	106.9704
ADO	558.3756
ADPGK	1006.8095
ADPRHL1	45.5615
ADPRHL2	1443.1101
ADPRH	121.8274
ADRA1A	1.7333
ADRA1B	38.8758
ADRA1D	1.7333
ADRA2A	89.8849
ADRA2B	5.2000
ADRA2C	8.4190
ADRB1	0.9905
ADRB2	27.2378
ADRB3	0.4952
ADRBK1	1782.5925
ADRBK2	305.3114
ADRM1	3342.8253
ADSL	1605.0514
ADSSL1	231.0264
ADSS	751.5167
AEBP1	4088.8944
AEBP2	210.7218
AEN	848.3348
AES	6701.2505
AFAP1L1	104.7419
AFAP1L2	87.1611
AFAP1	141.6367
AFARP1	10.6475
AFF1	99.0467
AFF2	0.7429
AFF3	191.6553
AFF4	504.8904
AFG3L1	615.5751
AFG3L2	508.1094
AFMID	723.2883
AFM	0.0000
AFP	0.0000
AFTPH	507.1190
AG2	527.1759
AGAP11	57.9423
AGAP1	249.5976
AGAP2	2011.8856
AGAP3	5201.1886
AGAP4	868.1441
AGAP5	190.9125
AGAP6	880.5249
AGAP7	35.6568
AGAP8	249.3500
AGA	182.4935
AGBL1	0.7429
AGBL2	25.0093
AGBL3	10.6475
AGBL4	57.4471
AGBL5	801.0400
AGER	642.3177
AGFG1	340.2253
AGFG2	253.3119
AGGF1	330.3207
AGK	550.4519
AGL	141.3891
AGMAT	5.4476
AGPAT1	3010.2761
AGPAT2	112.6656
AGPAT3	261.7308
AGPAT4	478.8907
AGPAT5	689.3649
AGPAT6	969.1717
AGPAT9	6.4380
AGPHD1	26.2474
AGPS	331.0635
AGR2	0.0000
AGR3	0.0000
AGRN	155.5033
AGRP	29.9616
AGTPBP1	699.0219
AGTR1	3.2190
AGTR2	0.0000
AGTRAP	242.9120
AGT	102.7609
AGXT2L1	0.0000
AGXT2L2	563.5756
AGXT2	0.0000
AGXT	0.0000
AHCTF1	278.5688
AHCYL1	883.0011
AHCYL2	422.9293
AHCY	1877.6774
AHDC1	366.2251
AHI1	600.2229
AHNAK2	26.9902
AHNAK	358.5490
AHRR	3.4666
AHR	78.7421
AHSA1	2544.7567
AHSA2	1664.9746
AHSG	9.1618
AHSP	0.0000
AICDA	0.0000
AIDA	910.2390
AIF1L	28.2283
AIF1	1256.4071
AIFM1	418.2246
AIFM2	102.5133
AIFM3	41.1044
AIG1	1284.1402
AIM1L	19.8093
AIM1	33.4283
AIM2	7.1809
AIMP1	687.3839
AIMP2	659.6509
AIPL1	0.4952
AIP	3014.4856
AIRE	2.4762
AJAP1	20.3046
AK1	1300.9781
AK2	1501.5476
AK3L1	103.2562
AK3	802.7733
AK5	135.1987
AK7	54.9709
AKAP10	222.6074
AKAP11	317.4446
AKAP12	1967.3146
AKAP13	145.1034
AKAP14	0.0000
AKAP1	1019.1903
AKAP2	29.2188
AKAP3	24.0188
AKAP4	10.6475
AKAP5	68.5898
AKAP6	316.7017
AKAP7	24.0188
AKAP8L	1616.1941
AKAP8	501.1762
AKAP9	1322.7684
AKD1	203.0457
AKIRIN1	799.3067
AKIRIN2	1057.0756
AKNAD1	2.9714
AKNA	78.7421
AKR1A1	2539.3091
AKR1B10	0.0000
AKR1B15	0.0000
AKR1B1	5326.4826
AKR1C1	301.5971
